site     long.      lat. 	   X		   Y		    Z 		 s_year  e_year    d_year
 SRLP  -64.2804  -36.6215     2224229.7387    -4617565.9402    -3783897.7247    2008.597 2021.988  13.39 
 SSA1  -38.5165  -12.9752     4863840.3169    -3871158.6556    -1422726.6710    2010.001 2021.988  11.99 
 SURI  -69.1434  -18.8538     2151181.3252    -5646221.1587    -2049436.8690    2017.062 2021.810   4.75 
 TAMR  -70.2346  -27.5938     1913138.7398    -5324046.9923    -2937022.9124    2013.695 2021.985   8.29 
 TERO  -64.2568  -27.7891     2452644.4735    -5086396.5007    -2955957.2356    2008.392 2021.985  13.59 
 TILC  -65.3951  -23.5771     2436177.1389    -5319863.5994    -2536435.7166    2012.966 2021.988   9.02 
 TLGT  -70.9888  -33.7763     1729167.0436    -5018676.0186    -3526600.5047    2014.892 2021.985   7.09 
 TMCO  -72.6137  -38.7648     1488032.9579    -4752307.8886    -3972075.1553    2010.382 2021.979  11.60 
 TOLO  -70.8061  -30.1699     1815037.7839    -5213851.6656    -3187790.5076    2005.358 2021.648  16.29 
 TOPL  -48.3307  -10.1711     4174345.6076    -4690236.7284    -1118921.3257    2008.001 2021.988  13.99 
 TRST  -70.2738  -28.8363     1887686.6576    -5264521.0934    -3058626.9214    2014.114 2021.985   7.87 
 TTAL  -70.4258  -25.4207     1931481.9690    -5431973.1461    -2721704.4783    2014.382 2019.558   5.18 
 TUCU  -65.2304  -26.8433     2386117.1653    -5171223.2973    -2862949.1677    2000.001 2021.988  21.99 
 UAIB  -70.5098  -33.4932     1776793.2690    -5020231.0162    -3500304.3707    2015.462 2021.985   6.52 
 UAPE  -70.1413  -20.2430     2033673.8216    -5630627.3543    -2192975.7201    2005.393 2021.988  16.59 
 UAPF  -70.1411  -20.2432     2033687.8238    -5630604.3437    -2192992.3045    2000.075 2004.999   4.92 
 UBE1  -48.3170  -18.8895     4014997.1737    -4509022.4722    -2052040.4855    2014.229 2021.988   7.76 
